Date,Category,Description,Amount
2023-08-29,Rent,Monthly Rent,1500.00
2023-08-30,Internet,Internet Bill,60.00
2023-08-30,Office Travel,Office Travel,506.20
2023-08-30,Utilities,Utility Bill,183.45
2023-08-31,Entertainment,Entertainment,73.98
2023-08-31,Groceries,Groceries,109.29
2023-08-31,Vacation,Vacation Expense,975.09
2023-09-01,Internet,Internet Bill,60.00
2023-09-02,Insurance,Insurance Payment,172.86
2023-09-02,Office Travel,Office Travel,235.22
2023-09-05,Groceries,Groceries,30.03
2023-09-05,Rent,Monthly Rent,1500.00
2023-09-05,Transportation,Public Transport or Fuel,12.61
2023-09-05,Transportation,Public Transport or Fuel,19.86
2023-09-06,Dining,Dining Out,59.07
2023-09-06,Internet,Internet Bill,60.00
2023-09-06,Rent,Monthly Rent,1500.00
2023-09-07,Internet,Internet Bill,60.00
2023-09-07,Internet,Internet Bill,60.00
2023-09-08,Miscellaneous,Misc Expense,49.40
2023-09-08,Transportation,Public Transport or Fuel,58.28
2023-09-10,Entertainment,Entertainment,54.55
2023-09-10,Groceries,Groceries,143.65
2023-09-10,Miscellaneous,Misc Expense,40.56
2023-09-11,Groceries,Groceries,29.93
2023-09-11,Healthcare,Medical Expense,88.40
2023-09-11,Utilities,Utility Bill,146.96
2023-09-11,Vacation,Vacation Expense,818.32
2023-09-12,Entertainment,Entertainment,22.79
2023-09-12,Miscellaneous,Misc Expense,96.24
2023-09-12,Transportation,Public Transport or Fuel,13.84
2023-09-12,Transportation,Public Transport or Fuel,29.37
2023-09-12,Transportation,Public Transport or Fuel,58.38
2023-09-13,Groceries,Groceries,41.09
2023-09-13,Transportation,Public Transport or Fuel,22.60
2023-09-15,Entertainment,Entertainment,69.89
2023-09-15,Healthcare,Medical Expense,57.52
2023-09-15,Office Travel,Office Travel,558.28
2023-09-15,Transportation,Public Transport or Fuel,48.91
2023-09-15,Utilities,Utility Bill,136.27
2023-09-15,Utilities,Utility Bill,177.32
2023-09-15,Vacation,Vacation Expense,1047.39
2023-09-17,Entertainment,Entertainment,58.96
2023-09-17,Insurance,Insurance Payment,192.54
2023-09-18,Miscellaneous,Misc Expense,89.53
2023-09-18,Miscellaneous,Misc Expense,90.63
2023-09-19,Office Travel,Office Travel,127.79
2023-09-19,Office Travel,Office Travel,399.41
2023-09-19,Rent,Monthly Rent,1500.00
2023-09-20,Groceries,Groceries,118.83
2023-09-20,Groceries,Groceries,63.34
2023-09-20,Internet,Internet Bill,60.00
2023-09-20,Miscellaneous,Misc Expense,94.42
2023-09-20,Transportation,Public Transport or Fuel,47.62
2023-09-21,Groceries,Groceries,50.71
2023-09-21,Office Travel,Office Travel,234.06
2023-09-21,Transportation,Public Transport or Fuel,49.82
2023-09-21,Utilities,Utility Bill,101.26
2023-09-21,Utilities,Utility Bill,143.67
2023-09-22,Insurance,Insurance Payment,201.70
2023-09-22,Vacation,Vacation Expense,1479.77
2023-09-22,Vacation,Vacation Expense,268.08
2023-09-23,Office Travel,Office Travel,265.58
2023-09-23,Utilities,Utility Bill,140.55
2023-09-24,Dining,Dining Out,68.33
2023-09-25,Internet,Internet Bill,60.00
2023-09-25,Office Travel,Office Travel,321.76
2023-09-25,Vacation,Vacation Expense,1187.84
2023-09-25,Vacation,Vacation Expense,370.36
2023-09-26,Groceries,Groceries,113.75
2023-09-26,Healthcare,Medical Expense,230.79
2023-09-26,Healthcare,Medical Expense,96.80
2023-09-26,Internet,Internet Bill,60.00
2023-09-27,Groceries,Groceries,107.12
2023-09-27,Internet,Internet Bill,60.00
2023-09-27,Miscellaneous,Misc Expense,79.40
2023-09-27,Miscellaneous,Misc Expense,99.74
2023-09-28,Office Travel,Office Travel,223.88
2023-09-28,Office Travel,Office Travel,580.43
2023-09-28,Utilities,Utility Bill,140.92
2023-09-28,Utilities,Utility Bill,153.80
2023-09-30,Entertainment,Entertainment,24.81
2023-10-01,Internet,Internet Bill,60.00
2023-10-01,Office Travel,Office Travel,333.46
2023-10-02,Office Travel,Office Travel,155.11
2023-10-03,Miscellaneous,Misc Expense,48.20
2023-10-03,Office Travel,Office Travel,400.63
2023-10-04,Internet,Internet Bill,60.00
2023-10-04,Rent,Monthly Rent,1500.00
2023-10-04,Transportation,Public Transport or Fuel,21.88
2023-10-04,Utilities,Utility Bill,119.35
2023-10-05,Miscellaneous,Misc Expense,52.22
2023-10-05,Vacation,Vacation Expense,1081.52
2023-10-06,Entertainment,Entertainment,45.85
2023-10-06,Healthcare,Medical Expense,188.41
2023-10-07,Groceries,Groceries,91.34
2023-10-07,Rent,Monthly Rent,1500.00
2023-10-08,Healthcare,Medical Expense,226.93
2023-10-08,Insurance,Insurance Payment,227.79
2023-10-08,Miscellaneous,Misc Expense,22.92
2023-10-08,Vacation,Vacation Expense,741.54
2023-10-09,Miscellaneous,Misc Expense,11.46
2023-10-10,Healthcare,Medical Expense,189.21
2023-10-10,Transportation,Public Transport or Fuel,32.30
2023-10-11,Groceries,Groceries,25.76
2023-10-11,Transportation,Public Transport or Fuel,35.77
2023-10-12,Entertainment,Entertainment,43.01
2023-10-12,Entertainment,Entertainment,99.12
2023-10-12,Rent,Monthly Rent,1500.00
2023-10-12,Utilities,Utility Bill,194.41
2023-10-13,Entertainment,Entertainment,54.27
2023-10-13,Internet,Internet Bill,60.00
2023-10-13,Utilities,Utility Bill,124.99
2023-10-14,Insurance,Insurance Payment,248.66
2023-10-14,Rent,Monthly Rent,1500.00
2023-10-14,Rent,Monthly Rent,1500.00
2023-10-14,Utilities,Utility Bill,193.57
2023-10-14,Vacation,Vacation Expense,1493.63
2023-10-15,Internet,Internet Bill,60.00
2023-10-15,Rent,Monthly Rent,1500.00
2023-10-16,Internet,Internet Bill,60.00
2023-10-17,Entertainment,Entertainment,17.14
2023-10-17,Utilities,Utility Bill,114.21
2023-10-18,Entertainment,Entertainment,97.57
2023-10-18,Internet,Internet Bill,60.00
2023-10-18,Utilities,Utility Bill,165.37
2023-10-20,Healthcare,Medical Expense,62.56
2023-10-20,Insurance,Insurance Payment,154.91
2023-10-20,Internet,Internet Bill,60.00
2023-10-20,Rent,Monthly Rent,1500.00
2023-10-21,Internet,Internet Bill,60.00
2023-10-22,Groceries,Groceries,143.86
2023-10-22,Office Travel,Office Travel,97.09
2023-10-23,Healthcare,Medical Expense,176.35
2023-10-23,Insurance,Insurance Payment,133.33
2023-10-24,Internet,Internet Bill,60.00
2023-10-24,Office Travel,Office Travel,395.54
2023-10-24,Vacation,Vacation Expense,886.10
2023-10-25,Groceries,Groceries,55.46
2023-10-25,Healthcare,Medical Expense,57.40
2023-10-25,Office Travel,Office Travel,305.54
2023-10-25,Vacation,Vacation Expense,1155.74
2023-10-26,Dining,Dining Out,63.72
2023-10-26,Groceries,Groceries,28.20
2023-10-26,Groceries,Groceries,37.89
2023-10-26,Rent,Monthly Rent,1500.00
2023-10-26,Utilities,Utility Bill,121.38
2023-10-27,Entertainment,Entertainment,64.71
2023-10-27,Healthcare,Medical Expense,169.35
2023-10-27,Office Travel,Office Travel,146.30
2023-10-28,Healthcare,Medical Expense,58.71
2023-10-28,Office Travel,Office Travel,232.56
2023-10-29,Entertainment,Entertainment,30.47
2023-10-29,Insurance,Insurance Payment,167.81
2023-10-29,Utilities,Utility Bill,82.28
2023-10-30,Rent,Monthly Rent,1500.00
2023-10-30,Utilities,Utility Bill,180.70
2023-11-02,Transportation,Public Transport or Fuel,57.27
2023-11-02,Vacation,Vacation Expense,399.47
2023-11-03,Entertainment,Entertainment,71.93
2023-11-03,Office Travel,Office Travel,582.16
2023-11-03,Rent,Monthly Rent,1500.00
2023-11-04,Rent,Monthly Rent,1500.00
2023-11-05,Entertainment,Entertainment,82.18
2023-11-05,Internet,Internet Bill,60.00
2023-11-05,Utilities,Utility Bill,108.32
2023-11-05,Utilities,Utility Bill,134.25
2023-11-06,Groceries,Groceries,76.24
2023-11-06,Healthcare,Medical Expense,133.12
2023-11-07,Groceries,Groceries,50.78
2023-11-07,Groceries,Groceries,84.77
2023-11-07,Vacation,Vacation Expense,571.25
2023-11-07,Vacation,Vacation Expense,741.56
2023-11-08,Healthcare,Medical Expense,74.50
2023-11-09,Dining,Dining Out,49.93
2023-11-10,Groceries,Groceries,41.06
2023-11-10,Healthcare,Medical Expense,54.64
2023-11-10,Vacation,Vacation Expense,893.52
2023-11-11,Office Travel,Office Travel,241.08
2023-11-11,Office Travel,Office Travel,90.79
2023-11-11,Vacation,Vacation Expense,253.55
2023-11-12,Entertainment,Entertainment,75.09
2023-11-12,Healthcare,Medical Expense,202.62
2023-11-12,Insurance,Insurance Payment,289.89
2023-11-13,Entertainment,Entertainment,27.36
2023-11-13,Entertainment,Entertainment,63.01
2023-11-13,Groceries,Groceries,118.89
2023-11-13,Internet,Internet Bill,60.00
2023-11-13,Miscellaneous,Misc Expense,74.70
2023-11-15,Dining,Dining Out,22.75
2023-11-15,Dining,Dining Out,33.71
2023-11-15,Entertainment,Entertainment,28.63
2023-11-15,Internet,Internet Bill,60.00
2023-11-15,Office Travel,Office Travel,334.55
2023-11-15,Rent,Monthly Rent,1500.00
2023-11-15,Utilities,Utility Bill,162.63
2023-11-16,Office Travel,Office Travel,350.07
2023-11-16,Rent,Monthly Rent,1500.00
2023-11-17,Dining,Dining Out,21.67
2023-11-17,Entertainment,Entertainment,26.15
2023-11-17,Healthcare,Medical Expense,149.75
2023-11-17,Insurance,Insurance Payment,253.83
2023-11-17,Office Travel,Office Travel,142.75
2023-11-17,Transportation,Public Transport or Fuel,52.30
2023-11-18,Transportation,Public Transport or Fuel,16.26
2023-11-19,Groceries,Groceries,42.26
2023-11-19,Groceries,Groceries,88.83
2023-11-20,Miscellaneous,Misc Expense,91.18
2023-11-21,Groceries,Groceries,123.18
2023-11-21,Internet,Internet Bill,60.00
2023-11-21,Rent,Monthly Rent,1500.00
2023-11-21,Transportation,Public Transport or Fuel,22.48
2023-11-21,Transportation,Public Transport or Fuel,34.15
2023-11-21,Vacation,Vacation Expense,544.05
2023-11-23,Miscellaneous,Misc Expense,93.46
2023-11-24,Groceries,Groceries,84.88
2023-11-25,Transportation,Public Transport or Fuel,45.20
2023-11-26,Office Travel,Office Travel,273.35
2023-11-27,Utilities,Utility Bill,142.17
2023-11-27,Vacation,Vacation Expense,295.88
2023-11-28,Groceries,Groceries,125.75
2023-11-28,Internet,Internet Bill,60.00
2023-11-28,Miscellaneous,Misc Expense,38.74
2023-11-28,Rent,Monthly Rent,1500.00
2023-11-28,Vacation,Vacation Expense,743.58
2023-11-29,Miscellaneous,Misc Expense,50.06
2023-11-29,Transportation,Public Transport or Fuel,52.57
2023-11-29,Utilities,Utility Bill,87.89
2023-11-30,Healthcare,Medical Expense,90.04
2023-11-30,Miscellaneous,Misc Expense,30.29
2023-11-30,Rent,Monthly Rent,1500.00
2023-11-30,Vacation,Vacation Expense,1137.47
2023-12-01,Healthcare,Medical Expense,112.74
2023-12-02,Insurance,Insurance Payment,110.23
2023-12-02,Rent,Monthly Rent,1500.00
2023-12-02,Rent,Monthly Rent,1500.00
2023-12-04,Insurance,Insurance Payment,126.79
2023-12-04,Insurance,Insurance Payment,166.06
2023-12-04,Vacation,Vacation Expense,1079.61
2023-12-04,Vacation,Vacation Expense,1163.16
2023-12-05,Entertainment,Entertainment,36.77
2023-12-05,Insurance,Insurance Payment,238.10
2023-12-05,Miscellaneous,Misc Expense,39.97
2023-12-05,Rent,Monthly Rent,1500.00
2023-12-05,Utilities,Utility Bill,127.27
2023-12-08,Dining,Dining Out,17.79
2023-12-08,Dining,Dining Out,47.08
2023-12-08,Rent,Monthly Rent,1500.00
2023-12-09,Entertainment,Entertainment,46.34
2023-12-09,Miscellaneous,Misc Expense,42.92
2023-12-10,Entertainment,Entertainment,15.86
2023-12-10,Healthcare,Medical Expense,169.50
2023-12-10,Miscellaneous,Misc Expense,17.11
2023-12-10,Utilities,Utility Bill,126.36
2023-12-10,Vacation,Vacation Expense,637.29
2023-12-11,Office Travel,Office Travel,313.10
2023-12-12,Internet,Internet Bill,60.00
2023-12-13,Insurance,Insurance Payment,263.68
2023-12-13,Internet,Internet Bill,60.00
2023-12-13,Internet,Internet Bill,60.00
2023-12-13,Vacation,Vacation Expense,1161.12
2023-12-14,Entertainment,Entertainment,96.37
2023-12-15,Entertainment,Entertainment,44.37
2023-12-16,Dining,Dining Out,67.65
2023-12-16,Entertainment,Entertainment,62.98
2023-12-16,Internet,Internet Bill,60.00
2023-12-16,Internet,Internet Bill,60.00
2023-12-16,Utilities,Utility Bill,161.74
2023-12-17,Insurance,Insurance Payment,200.02
2023-12-18,Dining,Dining Out,34.94
2023-12-18,Internet,Internet Bill,60.00
2023-12-18,Internet,Internet Bill,60.00
2023-12-18,Internet,Internet Bill,60.00
2023-12-18,Miscellaneous,Misc Expense,34.45
2023-12-18,Miscellaneous,Misc Expense,34.61
2023-12-19,Healthcare,Medical Expense,84.10
2023-12-19,Transportation,Public Transport or Fuel,49.84
2023-12-20,Entertainment,Entertainment,29.68
2023-12-20,Healthcare,Medical Expense,103.11
2023-12-20,Office Travel,Office Travel,386.07
2023-12-21,Miscellaneous,Misc Expense,65.78
2023-12-21,Vacation,Vacation Expense,950.92
2023-12-22,Dining,Dining Out,16.74
2023-12-22,Miscellaneous,Misc Expense,71.27
2023-12-22,Utilities,Utility Bill,197.59
2023-12-23,Dining,Dining Out,52.96
2023-12-23,Vacation,Vacation Expense,589.73
2023-12-24,Healthcare,Medical Expense,92.80
2023-12-24,Miscellaneous,Misc Expense,15.61
2023-12-24,Miscellaneous,Misc Expense,66.63
2023-12-24,Rent,Monthly Rent,1500.00
2023-12-25,Groceries,Groceries,45.88
2023-12-26,Internet,Internet Bill,60.00
2023-12-26,Miscellaneous,Misc Expense,33.79
2023-12-27,Entertainment,Entertainment,43.47
2023-12-27,Entertainment,Entertainment,70.90
2023-12-27,Insurance,Insurance Payment,129.56
2023-12-27,Office Travel,Office Travel,419.89
2023-12-27,Rent,Monthly Rent,1500.00
2023-12-29,Entertainment,Entertainment,38.70
2023-12-30,Healthcare,Medical Expense,181.19
2023-12-30,Healthcare,Medical Expense,224.56
2023-12-30,Vacation,Vacation Expense,614.09
2023-12-31,Groceries,Groceries,57.76
2023-12-31,Groceries,Groceries,79.76
2023-12-31,Miscellaneous,Misc Expense,19.89
2023-12-31,Transportation,Public Transport or Fuel,48.56
